,Angra dos Reis,Aperibé,Araruama,Areal,Armação dos Búzios,Arraial do Cabo,Barra Mansa,Barra do Piraí,Belford Roxo,Bom Jardim,Bom Jesus do Itabapoana,Cabo Frio,Cachoeiras de Macacu,Cambuci,Campos dos Goytacazes,Cantagalo,Cardoso Moreira,Carmo,Casimiro de Abreu,Comendador Levy Gasparian,Conceição de Macabu,Cordeiro,Duas Barras,Duque de Caxias,Engenheiro Paulo de Frontin,Guapimirim,Iguaba Grande,Itaboraí,Itaguaí,Italva,Itaocara,Itaperuna,Itatiaia,Japeri,Laje do Muriaé,Macaé,Macuco,Magé,Mangaratiba,Maricá,Mendes,Mesquita,Miguel Pereira,Miracema,Natividade,Nilópolis,Niterói,Nova Friburgo,Nova Iguaçu,Paracambi,Paraíba do Sul,Paty do Alferes,Petrópolis,Pinheiral,Piraí,Porciúncula,Porto Real,Quatis,Queimados,Quissamã,Resende,Rio Bonito,Rio Claro,Rio das Flores,Rio das Ostras,Rio de Janeiro,Santa Maria Madalena,Santo Antônio de Pádua,Sapucaia,Saquarema,Seropédica,Silva Jardim,Sumidouro,São Fidélis,São Francisco de Itabapoana,São Gonçalo,São José de Ubá,São José do Vale do Rio Preto,São João da Barra,São João de Meriti,São Pedro da Aldeia,São Sebastião do Alto,Tanguá,Teresópolis,Trajano de Moraes,Três Rios,Valença,Varre-Sai,Vassouras,Volta Redonda
Angra dos Reis,0.0,0.6000955747608144,0.09878293250859721,0.5428220882831618,0.09990766765154115,0.18051493898579493,0.09352403355567136,0.07043585396959767,0.10984544779426524,0.1720331994199904,0.12021307566615175,0.05150478065079672,0.17243389875037768,0.3563339302339979,0.08867624624704623,0.10663277539703311,0.18209997823353816,0.18373546797757948,0.07648518938626923,0.3183127173205416,0.26969020877141614,0.23840508127228505,0.22534810227796082,0.0997401574057838,0.2495209930678193,0.1880324450545832,0.15990834637167262,0.07399332306968771,0.07117226225534304,0.3654921890980865,0.4416548869013719,0.18486259332835892,0.16580210714606014,0.13300011522080826,0.20741909491679011,0.08978428121359382,0.2405064219065074,0.13759533969914076,0.12170736076556965,0.16585315865563824,0.12174610671270417,0.19179273648935385,0.2291019612841792,0.29645889817592336,0.281882809594857,0.1444616115679418,0.05487826271850612,0.09210534380247831,0.08563312883928319,0.24170964905348188,0.2121584689163333,0.20843940187871943,0.0932580198803355,0.08177320779740122,0.10599481574812235,0.3143827685151286,0.21058828018539213,0.2441929935422514,0.11249222436648051,0.12584370667062503,0.07011377076633502,0.26035124399479725,0.2702974236730663,0.11339990103139334,0.16731936525867128,0.0672735910390729,0.36562194693678296,0.36773188666915835,0.24385634871598122,0.13407722605132194,0.17705542325670956,0.09285808689584439,0.3575359032913743,0.21748020685058503,0.15246810858987017,0.05470176519245498,0.26152459602335915,0.1759349722953045,0.08153986906358968,0.11319620819541021,0.11019354525889294,0.28249072237302997,0.051581005060128145,0.13834309781160348,0.32051935879953636,0.2699276165971507,0.07744796945600013,0.32996317525710345,0.1353963374522361,0.0561731023010656
Aperibé,0.6000955747608144,0.0,0.6074196298506556,0.8047951943037039,0.6084177006380632,0.6240005886438674,0.5927560167765122,0.6051662895719301,0.5886827491406406,0.6170137844424718,0.6019866856303623,0.5997742050084306,0.6102645341428684,0.4313343011274586,0.585231841360844,0.6240055652212567,0.5450721011246672,0.6009664788999127,0.5729509194233545,0.6002515680234991,0.5987776595025716,0.6579940686353023,0.641712313234897,0.5709966436188615,0.6497775462671944,0.6335345474436066,0.5881737172090111,0.5791824739316,0.597033538935275,0.37481094113334545,0.47174490856213885,0.5158769646943704,0.6208965256385462,0.5342364086386031,0.6121498623693151,0.5885657773176025,0.6671193568889905,0.566951317093197,0.6193348178615193,0.575154858078994,0.6297206566546437,0.606261326502805,0.6610962037273758,0.497176278528339,0.5816984720960438,0.6046770614877042,0.598787742672045,0.608210911532865,0.5814218363500998,0.5149641635116226,0.6346181637058816,0.6523872904010829,0.6061371553148243,0.5985471636419288,0.6082154895102603,0.645389901709318,0.636756051319782,0.6301863922436716,0.605957046982519,0.6050932042997785,0.6036452238348405,0.5106725205213343,0.6747211463163806,0.6128593144778315,0.5539387170595983,0.5864524582735512,0.6893251042313799,0.3343393186146349,0.554275859777512,0.6117684170400601,0.6162604377803944,0.6152802742499031,0.6920429403187714,0.5420037926529752,0.5981654774321664,0.5937552618257134,0.5336224609000956,0.6448570327642308,0.6017947410737473,0.5869410943874045,0.5959037252363946,0.6528386030160904,0.5870578348722814,0.6298832268659936,0.72027741681583,0.5951151480398938,0.5533951565485681,0.6562080933449639,0.6400672761949434,0.6124193768327995
Araruama,0.09878293250859721,0.6074196298506556,0.0,0.5216221982673599,0.12914325310121025,0.1757424269452311,0.1403149862839297,0.1110651485825819,0.1253181324868527,0.16777472445833339,0.13487555108297447,0.0871531651460785,0.19273282037479697,0.3768440077436966,0.12995298658505922,0.12812334119560526,0.20419173692958692,0.25789200178254673,0.08371200652332098,0.34684882035248255,0.24491426557974436,0.25135252968088145,0.21563171096023712,0.12837874289048887,0.28704628200950943,0.16336939429518132,0.16785789138809135,0.10496965447105232,0.10328726961867403,0.3769901176596007,0.4577784110826665,0.20047249525670852,0.16176514521248903,0.17586384473942215,0.23191421810402446,0.10305974103612894,0.24801802419568925,0.17453766350594158,0.1586666436016145,0.1557842354676636,0.12615565645404078,0.20812544850629525,0.2669455536633203,0.3194201252302513,0.31104311851969174,0.20346704503438603,0.09733077116158415,0.1410556800423329,0.08722929377048316,0.26162578067116615,0.22271210445962497,0.22378325713587188,0.11611450052342977,0.07791660303036328,0.10142143758876353,0.32438006359315896,0.21049719574183973,0.28403002362327373,0.15451065448482132,0.12914842540860752,0.09336487267243036,0.2797781127138702,0.29896510747553795,0.15038966632292655,0.19148651751165324,0.098120414518494,0.36769311398511256,0.3785915150914551,0.27130660505782356,0.1321558771422096,0.24237079137067008,0.10972843281727361,0.34113126729296733,0.22800756191335805,0.16275900029347656,0.08769873888201245,0.27913934679603253,0.19559539759499883,0.12348883860358527,0.14036025494920762,0.16007035164426706,0.323000578398382,0.09096465519794913,0.1643503140064449,0.39001561187892936,0.29734257302021166,0.11421442715487463,0.34904086058165595,0.16187476336109466,0.11198726175072156
Areal,0.5428220882831618,0.8047951943037039,0.5216221982673599,0.0,0.5975810216976831,0.6057254651446061,0.5216823860956022,0.509630933033515,0.5947000064550831,0.6021951274393262,0.5781823703440007,0.5435415612956092,0.4912188157258321,0.6574829405226423,0.5188281734828426,0.5470559637987719,0.5183414737470535,0.6026719475235539,0.5383281145036255,0.5673964888067287,0.41751196308158567,0.5748540522290531,0.6423013470390384,0.5517596303939983,0.5063204702462023,0.47603370985045723,0.5259888854232865,0.5645405207134745,0.5442169433980555,0.6310113231523803,0.7191067871455002,0.5687510029193834,0.6123815078128266,0.5709795481114277,0.6134370521319085,0.5086884647013161,0.43418715467326685,0.5222405334827127,0.5968106620551086,0.5242519314586064,0.6067102212375696,0.6161229474223379,0.5350207150502491,0.5393248565191129,0.5673013727260144,0.630074490427721,0.5370549743809546,0.5909254083166579,0.5421245465292908,0.5495848957125623,0.48975885793417684,0.6017658942176111,0.5570744168187324,0.527897431687911,0.5628600977988483,0.448561330169854,0.6419774032050469,0.6049377114677702,0.5671430836359528,0.5691898385516081,0.5634729792381893,0.5697407634290046,0.6757066158254926,0.5835184891333725,0.5331402117499524,0.5655172124356563,0.5775907817054485,0.6237343683870947,0.5480542300253126,0.5976792446402082,0.5132227708203542,0.5674067218480379,0.578399935391396,0.45673837869738304,0.6098673277446927,0.573104065753858,0.5733722518663461,0.6406058299329497,0.5129011827506236,0.5905679468849978,0.5950545895894489,0.46910135759556604,0.5396052978271294,0.6033382245743378,0.6674018579947689,0.5430560061739771,0.5358436792885355,0.5994676944888466,0.5826299282614245,0.5689038397385483
Armação dos Búzios,0.09990766765154115,0.6084177006380632,0.12914325310121025,0.5975810216976831,0.0,0.14716995917927458,0.1512932822444597,0.12931541665587665,0.09838899273217179,0.16057051943099915,0.13744310747597444,0.0892496574897884,0.23829532138929557,0.3745774822183259,0.16358785133333448,0.1491145681497024,0.22109112567113423,0.2184556332748983,0.10566119902057104,0.3563690691101689,0.3237044945990637,0.22494696076893375,0.24138794695238522,0.1343609095680455,0.3346059233816785,0.2288670843001877,0.23115824580122407,0.08525129500570182,0.13340162751456716,0.38206007188379726,0.4529515407440043,0.2126133617793306,0.14201493041799673,0.15972507693881632,0.22598214355835422,0.15199792911861848,0.3111849194662543,0.2003189263237091,0.1129553363334979,0.18969062673189538,0.08430783698236269,0.14461977710562923,0.2856199956976099,0.33863008767556446,0.318083969051626,0.1694096335671865,0.10160571126768636,0.0903488863093327,0.10953543545992911,0.2740528768543773,0.27853637991636704,0.23871735945880948,0.12664963479388988,0.1034156245990426,0.1243208115251743,0.3685670394020524,0.1383583711039878,0.26703905446381143,0.15487257233719895,0.17124493803265006,0.09372740788759998,0.2929575455134214,0.29255179415313337,0.06634771991015034,0.1896280610833722,0.0716254819011226,0.41179144080185004,0.38745417860383535,0.283916391065317,0.08783032067797854,0.2316487318295392,0.0756860381628301,0.3672392820860966,0.27508133429980636,0.13909162296951375,0.08138682802038932,0.28515420180532364,0.11591783816366194,0.15273374580837792,0.11510597779041165,0.11700882393409362,0.3474965306919706,0.11850267429557719,0.15380089290973395,0.35347787423931565,0.30720953505958526,0.11859618838383736,0.37020543857354377,0.12179561952704397,0.09060841870671536
Arraial do Cabo,0.18051493898579493,0.6240005886438674,0.1757424269452311,0.6057254651446061,0.14716995917927458,0.0,0.23599851321758447,0.2101226106583168,0.14345699567286588,0.24334842484160163,0.18001657148678446,0.16967389619858317,0.306033142912902,0.3995433307350511,0.24817361799719098,0.20095870619016448,0.2691428399364707,0.29446987192014196,0.17959725278000585,0.3932166475224523,0.3262188090727309,0.18753362801803639,0.2854767229465004,0.17477679431546755,0.3874570258575982,0.26836331661980456,0.29685713893269766,0.14526948755827063,0.18555291275704494,0.39720568341489115,0.46565565299564077,0.25726590660060006,0.16077623064012328,0.20211806415742078,0.292956014723273,0.22447982832731336,0.390296538096221,0.2417408137515587,0.14066808968203098,0.20945089118460117,0.1336118124193208,0.18696379308741615,0.34943252486962256,0.3833403047075269,0.3513176078777288,0.1908343787743743,0.16163679906883666,0.14283790715236439,0.15314362434203022,0.30611246196245534,0.3406863432717206,0.2049335383412963,0.18463256874021922,0.14483688733164715,0.1235671703978343,0.4089530287725334,0.21223487785549014,0.33380639672010753,0.2282238031768733,0.20091038870704164,0.17498748732867203,0.3311906195872485,0.3033917896412473,0.17171033209360512,0.21427645617814428,0.1345505432603891,0.43267936875500523,0.4111141144200051,0.3410801897842314,0.10320968314826823,0.27714058159612087,0.15608580071537098,0.3236251228516204,0.3179333186333095,0.1445310741184953,0.15886621895100145,0.3068938123002926,0.14234993832652643,0.22437896795031137,0.1507879173596691,0.17329719113327396,0.4218174275634331,0.1916902830330944,0.18059916614163227,0.4607394289795543,0.34967092527275134,0.17749044052851193,0.41477503346818423,0.15880681513184303,0.17406291399502336
Barra Mansa,0.09352403355567136,0.5927560167765122,0.1403149862839297,0.5216823860956022,0.1512932822444597,0.23599851321758447,0.0,0.10353486495910759,0.14228431106183403,0.1885597871858885,0.1380554042882406,0.08469736965499049,0.14632607122174413,0.33834014953888875,0.07843936308555521,0.16724604127765763,0.15752699215235322,0.18031386950384876,0.11113165117000276,0.27732083598408375,0.26472691638297985,0.29843251112239655,0.25845301133016363,0.10098872991764908,0.25972616979400565,0.2017829185037222,0.181104839963544,0.11974214372367938,0.13128687964902164,0.3558169696667924,0.426489093949937,0.17712162133810952,0.20183391193711528,0.15112777432177055,0.21697794762540987,0.107231471424264,0.23296838255838279,0.12774019584247825,0.19408812841011866,0.16440940321894867,0.19666884666541753,0.21649525109113718,0.2253382647555282,0.2580583486696471,0.23972046655710968,0.19624148670021443,0.12419932402629416,0.16099347556128815,0.11121724581513759,0.22971364901887825,0.18984113753589166,0.2623303957274603,0.14298920733069773,0.12383335755775587,0.16848706135397767,0.2707829895265516,0.24147628927471068,0.2386732778916553,0.1365859512996433,0.16388973252765632,0.09495305158779048,0.23380426290619694,0.2986413391432519,0.16017872957587503,0.1520255067677471,0.11772113695061207,0.38709600590059967,0.3540680051443886,0.21699570231057225,0.179875863891747,0.15724550830132294,0.13724382959029857,0.4035077147943531,0.19209383250051676,0.18725100583669377,0.12616926865806136,0.24130765806758586,0.24260701598908269,0.08562074136694321,0.13669002198941219,0.14164884974054517,0.23017297509164683,0.10695620805764136,0.18408703235653925,0.33472604255277794,0.23690684098161804,0.10267141605363526,0.2936505709209531,0.2075383226828388,0.1322819097461659
Barra do Piraí,0.07043585396959767,0.6051662895719301,0.1110651485825819,0.509630933033515,0.12931541665587665,0.2101226106583168,0.10353486495910759,0.0,0.15354895572984667,0.1646646135369527,0.166642359625726,0.08437179892110232,0.15903946125393753,0.37042163904530767,0.08941216569053594,0.109860445297686,0.1920102453446645,0.2035344459100888,0.10813160867274986,0.3303839721482753,0.270194515223179,0.2493901382145164,0.24531699507360308,0.14048814774993132,0.24602089817096837,0.1419724500673066,0.15509539804037173,0.1199522331309979,0.10069743248406954,0.37384697291455327,0.453756292114276,0.20352047375402232,0.19462701378444155,0.14421877685467346,0.20876638465238015,0.09413031323471877,0.1963459138527084,0.157358602315537,0.13551118396962433,0.1997315051985625,0.15053638983252407,0.2306319659196145,0.2052089183753614,0.3015412145709321,0.296603876140572,0.17200172397054558,0.07477954790445417,0.14129481170303418,0.11924898135587965,0.24401972363226102,0.20433793772265404,0.21294204970613084,0.11861309807340631,0.10955535796520634,0.14477594803900995,0.3161524240718619,0.2307637686099344,0.2473735292639657,0.09992278984358569,0.16869665049019003,0.10952095080351813,0.2714635505419961,0.2712045344154937,0.1338993698508642,0.19458117089421562,0.11226089211178729,0.38119754858389826,0.3750834277115174,0.24398301636289474,0.169054696454612,0.19478853525994774,0.1034731037455598,0.3690698647474085,0.2122166189587282,0.197213567974241,0.09329197410731466,0.28379898133474796,0.20706906844634193,0.09190776198224371,0.16225241819960393,0.15362280724157626,0.27394680130068416,0.07382814122758376,0.13990872356252798,0.3176271524815497,0.274021042379476,0.10727186034302513,0.3389334448518156,0.15218891931474848,0.07751353006940127
Belford Roxo,0.10984544779426524,0.5886827491406406,0.1253181324868527,0.5947000064550831,0.09838899273217179,0.14345699567286588,0.14228431106183403,0.15354895572984667,0.0,0.18862162131289545,0.08301816297068357,0.0879286623004798,0.24350110409470221,0.34459354161272804,0.16314621160056475,0.1730515095317142,0.19964421196286247,0.23561054533073109,0.09597470953054592,0.3461629306599217,0.3058000818206499,0.2553285659852502,0.23418248560080657,0.08857057791066014,0.3294464151867359,0.25124315253247126,0.23349406095167236,0.06525571095203506,0.13244262938242551,0.3502059445342425,0.4205880116373753,0.18709495249090785,0.1266764276299235,0.14969625507912607,0.23343928749009168,0.1622952037973798,0.32998312635527205,0.1867913961142167,0.14633107823827657,0.13736861476971993,0.12104001916420698,0.1449815087303277,0.2846536688404302,0.3214076091178316,0.3029042760033865,0.154876165688949,0.12308697744985916,0.11581101779225232,0.08099428960211413,0.25816658283262595,0.28812997389860434,0.24210861393382435,0.14922351053559527,0.09633825422644872,0.11434897736460492,0.36458455322522604,0.17676282204691995,0.24298826238939222,0.16595136922959122,0.1258275108314678,0.07732905495800696,0.2695135571609892,0.28817226886916697,0.1122384459450769,0.15735932324125812,0.05899575231675339,0.40457321128721696,0.3588862510271296,0.2758933430541146,0.0765908077507385,0.23327500785079683,0.11221572359707706,0.3619347625787994,0.2570956361846095,0.07055395208306547,0.09317063160793812,0.26428803299672976,0.15489807429059257,0.15111757223957542,0.05367639011935878,0.11873276708639172,0.35439054229296807,0.1323902320024968,0.15588343019205794,0.3837633042319686,0.298368047197679,0.11715547643403976,0.36043684934339,0.1657857842086519,0.1259183473626752
Bom Jardim,0.1720331994199904,0.6170137844424718,0.16777472445833339,0.6021951274393262,0.16057051943099915,0.24334842484160163,0.1885597871858885,0.1646646135369527,0.18862162131289545,0.0,0.1810874839865649,0.16111346060385942,0.22192294034836563,0.3998565860127421,0.1796344075403787,0.15904688520834023,0.24127431957548368,0.24804723002307003,0.16539138350445204,0.3634183645438997,0.33462356497394047,0.27705845456654815,0.27232367069670355,0.19997178762390483,0.36686008902402883,0.20101917414247358,0.22170451268037883,0.18476048662461791,0.18900802584175808,0.403780886912504,0.4727576088897115,0.23970365758360992,0.24138197690494403,0.20755346973306157,0.2259755323667304,0.16405821019793942,0.2774948629422347,0.24323367044577696,0.1751135525380817,0.2494257844750355,0.18351963317823705,0.2521722306532545,0.31629686334690466,0.3415962969274271,0.3272765037785709,0.24345817393080646,0.15566079177374237,0.19932706403618336,0.1885466176917153,0.2987125844466191,0.2504822914878555,0.27232458207618615,0.15427404173985504,0.16257530486088526,0.19081536642010208,0.3649560670244473,0.24398529354868326,0.3199056151445645,0.1933898868679833,0.208342500325531,0.1706612466826224,0.3086439554046735,0.29827767670575217,0.18002812218860295,0.25919250735065147,0.1728886064432867,0.42407648900951406,0.4012202322271418,0.28896843722548027,0.1911882569707428,0.2839977403874013,0.13779210117747984,0.3831881434092162,0.2888330719293693,0.22866412916072923,0.15072072290527944,0.31645795075305994,0.23413069845482834,0.19211001766688784,0.20002161359544351,0.21947124803318852,0.3378794253197295,0.16401770550438563,0.21610085800920667,0.37061650446147565,0.3215703258364903,0.18266626484642792,0.3455268128661086,0.2227023009179168,0.160516518388626
